__time,/external_wrenches/force/x,/external_wrenches/force/y,/external_wrenches/force/z,/external_wrenches/torque/x,/external_wrenches/torque/y,/external_wrenches/torque/z,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781285300.408208,,,,,,,,,,1781285300.406778574,0.786151620,0.017696695,0.660762763,-0.679929685
1781285300.408907,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.409047,,,,,,,0.124410352,1.925930413,0.000000000,,,,,
1781285300.409550,,,,,,,,,,1781285300.408965349,0.786184439,0.017924488,0.659524280,-0.676403338
1781285300.409886,,,,,,,0.093634544,2.185363632,0.000000000,,,,,
1781285300.410294,,,,,,,,,,1781285300.409812450,0.786211793,0.018066257,0.658505172,-0.673094559
1781285300.410637,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.410643,,,,,,,0.105719525,2.120996881,0.000000000,,,,,
1781285300.410878,,,,,,,,,,1781285300.410514593,0.786224504,0.018140334,0.658034583,-0.671608400
1781285300.412006,,,,,,,,,,1781285300.411500931,0.786241865,0.018238182,0.657397195,-0.669557160
1781285300.412011,,,,,,,0.102787147,2.154765604,0.000000000,,,,,
1781285300.412809,,,,,,,0.090657396,2.251560223,0.000000000,,,,,
1781285300.412886,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.412893,,,,,,,,,,1781285300.412406683,0.786259590,0.018325865,0.656751714,-0.667379481
1781285300.413752,,,,,,,0.085182870,2.298464819,0.000000000,,,,,
1781285300.414263,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.414318,,,,,,,,,,1781285300.413639784,0.786279096,0.018416089,0.656047420,-0.664945000
1781285300.414512,,,,,,,0.093977296,2.251964379,0.000000000,,,,,
1781285300.414790,,,,,,,,,,1781285300.414409637,0.786295874,0.018501311,0.655446272,-0.662902824
1781285300.415839,,,,,,,0.082640666,2.335871761,0.000000000,,,,,
1781285300.415949,,,,,,,,,,1781285300.415524244,0.786315291,0.018587639,0.654756338,-0.660462721
1781285300.416210,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.416476,,,,,,,0.082574052,2.346492582,0.000000000,,,,,
1781285300.416799,,,,,,,,,,1781285300.416363716,0.786332166,0.018662305,0.654161051,-0.658340968
1781285300.417559,,,,,,,0.080673174,2.367332845,0.000000000,,,,,
1781285300.417660,,,,,,,,,,1781285300.417390823,0.786352536,0.018749949,0.653448617,-0.655769076
1781285300.417675,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.418847,,,,,,,0.080876549,2.375247396,0.000000000,,,,,
1781285300.418973,,,,,,,,,,1781285300.418598652,0.786373125,0.018838342,0.652734738,-0.653173071
1781285300.420413,,,,,,,0.080485936,2.387308603,0.000000000,,,,,
1781285300.420460,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.420467,,,,,,,,,,1781285300.419497252,0.786390993,0.018914376,0.652119827,-0.650917821
1781285300.420944,,,,,,,0.078177644,2.408964694,0.000000000,,,,,
1781285300.421973,,,,,,,0.085823903,2.368914937,0.000000000,,,,,
1781285300.422286,,,,,,,,,,1781285300.420596361,0.786407835,0.018983732,0.651544253,-0.648780677
1781285300.422333,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.422338,,,,,,,,,,1781285300.421609163,0.786430929,0.019087570,0.650762765,-0.645914541
1781285300.422627,,,,,,,0.086520047,2.372909298,0.000000000,,,,,
1781285300.423150,,,,,,,,,,1781285300.422540426,0.786447014,0.019160204,0.650222185,-0.643922460
1781285300.423833,,,,,,,0.093662753,2.335495510,0.000000000,,,,,
1781285300.424479,,,,,,,,,,1781285300.423559666,0.786465601,0.019250638,0.649602642,-0.641667492
1781285300.424559,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.424857,,,,,,,0.073099207,2.464145507,0.000000000,,,,,
1781285300.425176,,,,,,,,,,1781285300.424716473,0.786490612,0.019345147,0.648777157,-0.638481628
1781285300.426650,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.426659,,,,,,,,,,1781285300.425623655,0.786506322,0.019413488,0.648262049,-0.636535407
1781285300.426690,,,,,,,,,,1781285300.426315308,0.786523685,0.019487074,0.647696805,-0.634377897
1781285300.428027,,,,,,,,,,1781285300.427456141,0.786544529,0.019560556,0.647023646,-0.631709783
1781285300.428036,,,,,,,0.084451479,2.405004735,0.000000000,,,,,
1781285300.428073,,,,,,,0.082585959,2.421393309,0.000000000,,,,,
1781285300.428082,,,,,,,0.068957745,2.503827508,0.000000000,,,,,
1781285300.428814,,,,,,,0.078439808,2.454610738,0.000000000,,,,,
1781285300.429182,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.429296,,,,,,,,,,1781285300.428630114,0.786566253,0.019647285,0.646328183,-0.628995789
1781285300.430000,,,,,,,0.088112379,2.404346398,0.000000000,,,,,
1781285300.430340,,,,,,,,,,1781285300.429725170,0.786588129,0.019744907,0.645634250,-0.626331937
1781285300.431623,,,,,,,0.078919214,2.462360656,0.000000000,,,,,
1781285300.431796,,,,,,,,,,1781285300.431236267,0.786609105,0.019828394,0.644974429,-0.623727082
1781285300.432015,,,,,,,0.088196677,2.414242735,0.000000000,,,,,
1781285300.432473,,,,,,,,,,1781285300.431898355,0.786631158,0.019926008,0.644287060,-0.621055056
1781285300.432503,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.432981,,,,,,,0.072118793,2.501134203,0.000000000,,,,,
1781285300.433230,,,,,,,,,,1781285300.432810545,0.786648456,0.019988420,0.643751469,-0.618890562
1781285300.433812,,,,,,,0.079811532,2.461364264,0.000000000,,,,,
1781285300.434059,,,,,,,,,,1781285300.433609247,0.786665924,0.020057926,0.643214354,-0.616746999
1781285300.434996,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.435017,,,,,,,0.069878977,2.524969247,0.000000000,,,,,
1781285300.435051,,,,,,,,,,1781285300.434611559,0.786684888,0.020123776,0.642635414,-0.614367632
1781285300.435856,,,,,,,0.062820633,2.569321305,0.000000000,,,,,
1781285300.435971,,,,,,,,,,1781285300.435547829,0.786705367,0.020187505,0.642014804,-0.611761148
1781285300.436802,,,,,,,0.062768247,2.572093500,0.000000000,,,,,
1781285300.436859,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.436876,,,,,,,,,,1781285300.436505795,0.786724495,0.020246803,0.641439155,-0.609331232
1781285300.437740,,,,,,,0.054755034,2.602638157,0.000000000,,,,,
1781285300.437876,,,,,,,,,,1781285300.437522173,0.786744761,0.020301462,0.640833492,-0.606733185
