__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781282265.507384,-678.956638182,1346.181728297,0.000000000,,,,,
1781282265.507800,,,,1781282265.507204056,42.761774717,22.384060001,-233.753842877,-96.089392947
1781282265.508246,-673.657073101,1197.370665448,0.000000000,,,,,
1781282265.508959,,,,1781282265.507945299,42.780868877,21.793851524,-233.837110195,-95.040345376
1781282265.509511,-615.817162343,1057.076621507,0.000000000,,,,,
1781282265.509613,,,,1781282265.509350777,42.809773780,20.943957948,-233.966262632,-93.581466531
1781282265.510458,-599.624605677,852.953325604,0.000000000,,,,,
1781282265.510467,,,,1781282265.509942293,42.824914650,20.501111791,-234.034910960,-92.951527235
1781282265.511209,-587.549026058,761.439297578,0.000000000,,,,,
1781282265.511281,,,,1781282265.510957003,42.841130759,20.025326341,-234.109681938,-92.334928920
1781282265.512336,-577.975361740,642.431306290,0.000000000,,,,,
1781282265.513967,-570.041074402,586.652050155,0.000000000,,,,,
1781282265.514624,-544.825987065,366.087748416,0.000000000,,,,,
1781282265.519943,-525.392319038,211.288867597,0.000000000,,,,,
1781282265.519976,-507.346856808,92.447689542,0.000000000,,,,,
1781282265.519981,,,,1781282265.511652708,42.856223097,19.579816574,-234.180473017,-91.839735802
1781282265.519990,-493.403014351,17.208566372,0.000000000,,,,,
1781282265.519995,,,,1781282265.513621569,42.884847609,18.707596156,-234.319623614,-90.942098914
1781282265.520012,-464.502971227,-96.968952769,0.000000000,,,,,
1781282265.520272,,,,1781282265.514201164,42.905629012,18.081414574,-234.423661968,-90.521345479
1781282265.520367,-405.891534515,-233.457056573,0.000000000,,,,,
1781282265.520370,,,,1781282265.515149117,42.922140980,17.588170485,-234.508458180,-90.322985165
1781282265.520388,-512.481561699,-92.470138064,0.000000000,,,,,
1781282265.520391,,,,1781282265.515711308,42.933025416,17.268384688,-234.565352933,-90.264714462
1781282265.520403,,,,1781282265.517596483,42.950256675,16.761142706,-234.658131204,-90.247023230
1781282265.520416,,,,1781282265.518211126,42.973557324,16.088408627,-234.789038281,-90.387462201
1781282265.520423,,,,1781282265.519159079,42.984264559,15.813583122,-234.850345847,-90.545533873
1781282265.520430,,,,1781282265.519767284,42.997270798,15.380204114,-234.926981624,-90.623731060
1781282265.521164,-456.819801351,-158.297322358,0.000000000,,,,,
1781282265.521462,,,,1781282265.520998240,43.013140186,14.893449825,-235.023723470,-90.792401289
1781282265.522419,-436.280582773,-205.311959830,0.000000000,,,,,
1781282265.523061,,,,1781282265.522174120,43.030056898,14.380214582,-235.130814690,-91.033927815
1781282265.523131,-371.844366312,-237.857969079,0.000000000,,,,,
1781282265.523267,,,,1781282265.522991657,43.042545303,14.049691793,-235.211920313,-91.245353579
1781282265.524035,-335.342280904,-248.753650215,0.000000000,,,,,
1781282265.524238,,,,1781282265.523964405,43.056716983,13.702876782,-235.306553418,-91.502617589
1781282265.525369,-173.546311585,-205.606408202,0.000000000,,,,,
1781282265.525612,,,,1781282265.525197029,43.071119319,13.517976897,-235.404275616,-91.721674975
1781282265.526438,-144.234216246,-194.504280138,0.000000000,,,,,
1781282265.526595,,,,1781282265.526219130,43.086116526,13.356019181,-235.507513293,-91.940079941
1781282265.527381,-25.054849978,-136.798724369,0.000000000,,,,,
1781282265.527513,,,,1781282265.527132988,43.097713358,13.334228877,-235.587577421,-92.059054338
1781282265.528510,39.909348699,-102.395069325,0.000000000,,,,,
1781282265.528616,,,,1781282265.528259516,43.112352219,13.377899961,-235.688436294,-92.171100860
1781282265.529273,179.745966980,-28.454865123,0.000000000,,,,,
1781282265.529421,,,,1781282265.529170275,43.126617185,13.566894577,-235.785381425,-92.201019842
1781282265.530372,276.876798436,14.795715126,0.000000000,,,,,
1781282265.530428,,,,1781282265.530240297,43.141413776,13.862429550,-235.883778830,-92.185227073
1781282265.531343,368.408634009,42.411668458,0.000000000,,,,,
1781282265.531406,,,,1781282265.531230927,43.156008466,14.240014137,-235.978215564,-92.141759057
1781282265.532299,434.710136201,43.143404852,0.000000000,,,,,
1781282265.532376,,,,1781282265.532188892,43.171092385,14.686487965,-236.072805261,-92.097448148
1781282265.533425,490.489001485,22.635790586,0.000000000,,,,,
1781282265.533482,,,,1781282265.533241987,43.186733030,15.191479254,-236.167601760,-92.074143085
1781282265.534384,532.212374067,-20.255896499,0.000000000,,,,,
1781282265.534457,,,,1781282265.534277439,43.202840821,15.736257163,-236.261870997,-92.094877224
1781282265.535444,561.557130065,-82.171133811,0.000000000,,,,,
1781282265.535836,,,,1781282265.535347700,43.218870881,16.288891150,-236.352582067,-92.175742658
1781282265.536790,639.517502979,-166.765124140,0.000000000,,,,,
1781282265.536884,,,,1781282265.536501169,43.236519029,16.954570035,-236.448709224,-92.349329810
1781282265.537504,645.058879271,-270.904973747,0.000000000,,,,,
1781282265.537760,,,,1781282265.537470818,43.253572335,17.580292629,-236.538545197,-92.612114136
1781282265.538727,603.279409782,-346.921472662,0.000000000,,,,,
1781282265.538828,,,,1781282265.538591623,43.275088357,18.289980271,-236.647972610,-93.020226659
1781282265.539712,621.577203481,-479.462077444,0.000000000,,,,,
